Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,,,System.CodeDom 6.0.0,,,,,"System.CodeDom, 6.0.0  Recommendation:  Remove System.CodeDom, and replace with new package System.CodeDom 10.0.2"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\Quorum.QFCCore\Quorum.QFCCore.Workflow\CoreWF\src\NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Activities\SourceExpressionException.cs,79,8,"M:System.Exception.GetObjectData(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,"base.GetObjectData(info, context);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Activities\SourceExpressionException.cs,33,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Activities\SourceExpressionException.cs,33,8,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Debugger\WorkflowSymbol.cs,64,8,M:System.IO.BinaryReader.ReadString,,,,,"return format switch          {              EncodingFormat.Binary => ParseBinary(reader.ReadBytes(payloadBytesCount), checksum),              EncodingFormat.String => ParseStringRepresentation(reader.ReadString(), checksum),              _                     => throw FxTrace.Exception.AsError(new SerializationException())          };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Debugger\WorkflowSymbol.cs,29,8,M:System.IO.BinaryReader.ReadString,,,,,FileName = reader.ReadString();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\Debugger\WorkflowSymbol.cs,29,8,M:System.IO.BinaryReader.ReadString,,,,,FileName = reader.ReadString();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Quorum.CoreWF.Core\Quorum.CoreWF.Core.csproj,File,Quorum.CoreWF.Core\XamlIntegration\TextExpressionCompilerHelper.cs,22,4,T:System.CodeDom.CodeCompileUnit,,,,,"public static string GetCode(this CodeCompileUnit compilationUnit, string language)"
